Հրաման            | Բացատրություն                                                        
----------------- | ---------------------------------------------------------------------
1. pwd            | Ցուցադրում է գործող թղթապանակի հասցեն (path): *print working directory*
2. ls             | Ցուցադրում է գործող թղթապանակում եղած ֆայլերն ու պանակները:              
3. ls -la         | Ցուցադրում է նաև թաքնված ֆայլերն ու մանրամասն ինֆորմացիա տալիս:      
4. cd <folder>    | Մուտք նշված թղթապանակ: Օրինակ՝ "cd Projects"
5. cd ..          | Դուրս գալ մեկ մակարդակ վերև՝ ծնող թղթապանակ:
6. cd /           | Տանում է արմատային պանակ (root):
7. cd ~           | Տանում է քո օգտատիրոջ սկզբնական պանակ (home):
8. mkdir <folder> | Ստեղծում է նոր թղթապանակ: Օրինակ՝ "mkdir my_folder"
9. rmdir <folder> | Ջնջում է դատարկ թղթապանակ: Եթե թղթապանակը դատարկ չէ, չի ջնջի:

Հրաման                         | Բացատրություն                                                     
------------------------------ | ----------------------------------------------------------------- 
1. touch <file>                | Ստեղծում է նոր դատարկ ֆայլ: Օրինակ՝ `touch notes.txt`             
2. cp <source> <destination>   | Կապիում է ֆայլ կամ թղթապանակ: Օրինակ՝ `cp file.txt backup.txt`        
3. mv <source> <destination>   | Տեղափոխում կամ վերանվանում է ֆայլ/թղթապանակ: Օր. `mv old.txt new.txt` 
4. rm <file>                   | Ջնջում է ֆայլ: Օրինակ՝ `rm temp.txt`                              
5. rm -r <folder>              | Ջնջում է թղթապանակն ու դրա պարունակությունը:            
6. cat <file>                  | Ցուցադրում է ֆայլի բովանդակությունը: Օրինակ՝ `cat notes.txt`      
7. nano <file>                 | Բացում է ֆայլը խմբագրելու համար (տեքստային խմբագրիչ):             
8. code <file>                 | Բացում է ֆայլը VS Code-ում (եթե VS Code-ը տեղադրված է):           


Հրաման                   | Բացատրություն                                                    
-------------------------| -----------------------------------------------------------------
find . -name "<pattern>" | Որոնում է ֆայլեր տվյալ անունով. օրինակ՝ "find . -name "*.js"   
file <file>              | Ցուցադրում է ֆայլի տեսակը (տեքստ, բինար, սկրիպտ և այլն):         
stat <file>              | Տալիս է մանրամասն ինֆորմացիա ֆայլի մասին (չափ, ժամ, իրավունքներ):
